,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7616,0.527,0.414,10,-10.387,1,0.0353,0.795,1.61e-05,0.872,0.317,76.993,audio_features,55FhLVKs8GPgz3628hvkqN,spotify:track:55FhLVKs8GPgz3628hvkqN,https://api.spotify.com/v1/tracks/55FhLVKs8GPgz3628hvkqN,https://api.spotify.com/v1/audio-analysis/55FhLVKs8GPgz3628hvkqN,397800,4
7617,0.295,0.826,0,-5.941,1,0.0764,0.333,2.96e-05,0.866,0.684,156.502,audio_features,755Op61FjMIORNWVGCCQnt,spotify:track:755Op61FjMIORNWVGCCQnt,https://api.spotify.com/v1/tracks/755Op61FjMIORNWVGCCQnt,https://api.spotify.com/v1/audio-analysis/755Op61FjMIORNWVGCCQnt,160373,4
7618,0.252,0.777,5,-5.378,1,0.0984,0.0693,2.14e-06,0.74,0.532,78.334,audio_features,11Nn8GRhqLhjEHM4ZGcJRa,spotify:track:11Nn8GRhqLhjEHM4ZGcJRa,https://api.spotify.com/v1/tracks/11Nn8GRhqLhjEHM4ZGcJRa,https://api.spotify.com/v1/audio-analysis/11Nn8GRhqLhjEHM4ZGcJRa,435213,4
7619,0.395,0.731,5,-6.204,1,0.311,0.744,0.0,0.947,0.204,100.324,audio_features,5c4PFKLficGOkJgkKSsWYL,spotify:track:5c4PFKLficGOkJgkKSsWYL,https://api.spotify.com/v1/tracks/5c4PFKLficGOkJgkKSsWYL,https://api.spotify.com/v1/audio-analysis/5c4PFKLficGOkJgkKSsWYL,64693,3
7620,0.277,0.928,1,-3.593,1,0.0663,0.0727,1.08e-05,0.999,0.678,133.746,audio_features,6dDk4SBKmNIaZFgRkJS6md,spotify:track:6dDk4SBKmNIaZFgRkJS6md,https://api.spotify.com/v1/tracks/6dDk4SBKmNIaZFgRkJS6md,https://api.spotify.com/v1/audio-analysis/6dDk4SBKmNIaZFgRkJS6md,170840,4
7621,0.544,0.446,0,-9.742,1,0.0325,0.683,0.000214,0.78,0.184,98.334,audio_features,6Z8e93OPaSyYbdTlMvv0LZ,spotify:track:6Z8e93OPaSyYbdTlMvv0LZ,https://api.spotify.com/v1/tracks/6Z8e93OPaSyYbdTlMvv0LZ,https://api.spotify.com/v1/audio-analysis/6Z8e93OPaSyYbdTlMvv0LZ,242120,4
7622,0.432,0.861,11,-4.844,0,0.045,0.185,0.00365,0.956,0.539,148.696,audio_features,6UtizNmj7OKcgmTG8Ijz0e,spotify:track:6UtizNmj7OKcgmTG8Ijz0e,https://api.spotify.com/v1/tracks/6UtizNmj7OKcgmTG8Ijz0e,https://api.spotify.com/v1/audio-analysis/6UtizNmj7OKcgmTG8Ijz0e,208320,4
7623,0.62,0.634,0,-6.56,1,0.0324,0.564,1.4e-06,0.959,0.531,117.058,audio_features,6OBkFMvydoNdfVgEOovQkE,spotify:track:6OBkFMvydoNdfVgEOovQkE,https://api.spotify.com/v1/tracks/6OBkFMvydoNdfVgEOovQkE,https://api.spotify.com/v1/audio-analysis/6OBkFMvydoNdfVgEOovQkE,266613,4
7624,0.578,0.598,0,-8.887,1,0.0308,0.61,0.000449,0.757,0.238,107.796,audio_features,3XcvRMzFSHuZv2ydhwxLDp,spotify:track:3XcvRMzFSHuZv2ydhwxLDp,https://api.spotify.com/v1/tracks/3XcvRMzFSHuZv2ydhwxLDp,https://api.spotify.com/v1/audio-analysis/3XcvRMzFSHuZv2ydhwxLDp,178587,4
7625,0.198,0.575,0,-7.566,1,0.0428,0.847,2.78e-06,0.985,0.256,69.708,audio_features,4ZH481GFGrlkkkTDasfXry,spotify:track:4ZH481GFGrlkkkTDasfXry,https://api.spotify.com/v1/tracks/4ZH481GFGrlkkkTDasfXry,https://api.spotify.com/v1/audio-analysis/4ZH481GFGrlkkkTDasfXry,274800,4
7626,0.148,0.843,9,-4.578,1,0.0681,0.0119,2.63e-05,0.798,0.405,205.641,audio_features,0qQsyN6ueXTTq3jG1qTn9x,spotify:track:0qQsyN6ueXTTq3jG1qTn9x,https://api.spotify.com/v1/tracks/0qQsyN6ueXTTq3jG1qTn9x,https://api.spotify.com/v1/audio-analysis/0qQsyN6ueXTTq3jG1qTn9x,311213,4
7627,0.473,0.607,4,-8.033,1,0.0377,0.694,0.00298,0.992,0.148,123.863,audio_features,3PZwM7IjD6MGIYMAC0N2kR,spotify:track:3PZwM7IjD6MGIYMAC0N2kR,https://api.spotify.com/v1/tracks/3PZwM7IjD6MGIYMAC0N2kR,https://api.spotify.com/v1/audio-analysis/3PZwM7IjD6MGIYMAC0N2kR,297320,4
7628,0.224,0.938,2,-4.081,1,0.151,0.0204,0.0011,0.975,0.361,171.705,audio_features,25F7LhmvhVjFetcOPsyp9z,spotify:track:25F7LhmvhVjFetcOPsyp9z,https://api.spotify.com/v1/tracks/25F7LhmvhVjFetcOPsyp9z,https://api.spotify.com/v1/audio-analysis/25F7LhmvhVjFetcOPsyp9z,313907,4
7629,0.399,0.819,9,-5.349,1,0.0599,0.0684,3.75e-06,0.957,0.435,120.056,audio_features,0r8whJNxgF0blwOVZa4q7O,spotify:track:0r8whJNxgF0blwOVZa4q7O,https://api.spotify.com/v1/tracks/0r8whJNxgF0blwOVZa4q7O,https://api.spotify.com/v1/audio-analysis/0r8whJNxgF0blwOVZa4q7O,288013,4
7630,0.257,0.949,10,-4.305,1,0.111,0.0499,0.0,0.79,0.438,121.083,audio_features,5f7oelcWNUo6hVo1tEJjcG,spotify:track:5f7oelcWNUo6hVo1tEJjcG,https://api.spotify.com/v1/tracks/5f7oelcWNUo6hVo1tEJjcG,https://api.spotify.com/v1/audio-analysis/5f7oelcWNUo6hVo1tEJjcG,110307,4
7631,0.292,0.614,10,-7.012,1,0.0305,0.412,0.000437,0.437,0.147,81.211,audio_features,1ytc3ZPW6aUAMUkDa7m1tP,spotify:track:1ytc3ZPW6aUAMUkDa7m1tP,https://api.spotify.com/v1/tracks/1ytc3ZPW6aUAMUkDa7m1tP,https://api.spotify.com/v1/audio-analysis/1ytc3ZPW6aUAMUkDa7m1tP,262947,4
7632,0.0797,0.829,10,-5.007,1,0.133,0.00702,0.873,0.686,0.673,170.897,audio_features,07flsXa62qs8itL5qIUBx8,spotify:track:07flsXa62qs8itL5qIUBx8,https://api.spotify.com/v1/tracks/07flsXa62qs8itL5qIUBx8,https://api.spotify.com/v1/audio-analysis/07flsXa62qs8itL5qIUBx8,83320,4
7633,0.281,0.806,5,-4.609,1,0.075,0.0174,1.1e-05,0.982,0.326,122.383,audio_features,07vufGLZoKZGipfRNgnTrL,spotify:track:07vufGLZoKZGipfRNgnTrL,https://api.spotify.com/v1/tracks/07vufGLZoKZGipfRNgnTrL,https://api.spotify.com/v1/audio-analysis/07vufGLZoKZGipfRNgnTrL,316453,4
