,song_uri,song,artist
0,spotify:track:102URDQhMTSimVByjpTRpL,Mother - Ultimate Mix,John Lennon
1,spotify:track:7ycuU1aOKJy97VNFkKUSK5,Hold On - Ultimate Mix,John Lennon
2,spotify:track:3n5B0ieaUxw5ulnhXDDA9l,I Found Out - Ultimate Mix,John Lennon
3,spotify:track:2eZr2TgcIXmPz4IX6QGxeR,Working Class Hero - Ultimate Mix,John Lennon
4,spotify:track:706PbhdcHazGR0sj8QMBuH,Isolation - Ultimate Mix,John Lennon
5,spotify:track:26ybk6wVtba1KavCjqHAOj,Remember - Ultimate Mix,John Lennon
6,spotify:track:7rx2sydip0w8jotiRHzhVN,Love - Ultimate Mix,John Lennon
7,spotify:track:3fa2yu7zCDvKvjPxcGVYMP,Well Well Well - Ultimate Mix,John Lennon
8,spotify:track:2ONPmudtj1QDPxlBkzNQDz,Look At Me - Ultimate Mix,John Lennon
9,spotify:track:0zLZ35PsDll9G5coaumbDj,God - Ultimate Mix,John Lennon
10,spotify:track:4kTjYI2W18dlYmymx4aWzT,My Mummy's Dead - Ultimate Mix,John Lennon
11,spotify:track:5waa9MNixv8LTvb7I71V3x,Give Peace A Chance - Ultimate Mix,John Lennon
12,spotify:track:5ZRphmQRgSemCv6bzK7895,Cold Turkey - Ultimate Mix,John Lennon
13,spotify:track:0NgFZWdvnv218PVnY4I8UT,Instant Karma! (We All Shine On) - Ultimate Mix,John Lennon
14,spotify:track:55tCd9BvMC0AJVdNd6RjT8,Mother - Take 61 / Out-take / Ultimate Mix,John Lennon
15,spotify:track:40V4FoB1m43lKsbWJjijio,Hold On - Take 2 / Out-take / Ultimate Mix,John Lennon
16,spotify:track:5Tz16kODbTfH4TsNnEWMR0,I Found Out - Take 1 / Out-take / Ultimate Mix,John Lennon
17,spotify:track:1yjAqyqOGHO0AL1OsbR6GQ,Working Class Hero - Take 1 / Out-take / Ultimate Mix,John Lennon
18,spotify:track:0bIvaaQNqyKdiDLu01GRN0,Isolation - Take 23 / Out-take / Ultimate Mix,John Lennon
