song,uri,artist,cluster
We Can't Hide,spotify:track:5TqSGWiZMSbLAzdK8guGj1,Donkeyboy,164
Caught in a Life,spotify:track:4qa0IgRStEoRVhze0F2nH4,Donkeyboy,456
Show You Off,spotify:track:61NLZ3BQ6H6sNyZsxa8zcS,Dan + Shay,50
Stop Drop + Roll,spotify:track:0duhud5zavtlTucT8O3Gyx,Dan + Shay,50
19 You + Me,spotify:track:6ygusXXFME6GYPLQ0FWnyB,Dan + Shay,162
What You Do to Me,spotify:track:7DcfoFfMg1nMrZjDs3Oqo6,Dan + Shay,62
Can't Say No,spotify:track:17JLTnP760kcTwPkRZy4X9,Dan + Shay,366
First Time Feeling,spotify:track:6kzEgk1U6Dxgz35JYDB6tY,Dan + Shay,381
Nothin' Like You,spotify:track:7woaw2lGsdGYpCR5xFiNFa,Dan + Shay,373
Somewhere Only We Know,spotify:track:4RPbYKL5L2c07I7x80wNqm,Dan + Shay,414
Parking Brake,spotify:track:25BmsghHsQlBxMkh6LUER4,Dan + Shay,159
I Heard Goodbye,spotify:track:3xQAxe24qEGBv6xrOuv6uN,Dan + Shay,52
Party Girl,spotify:track:1rcLRPBbymByHwm19i7jwJ,Dan + Shay,381
Close Your Eyes,spotify:track:7dWjFDauc0EIitvwfEt1mp,Dan + Shay,297
Hurricane (VIP Remix),spotify:track:63ywZJe9yA8vpMHeAeQLc7,Ofenbach,435
Hurricane,spotify:track:3dINYA89LWb9mucj4FkJdP,Ofenbach,383
Intro,spotify:track:16J2tUJHnas3qrgXGvdLmE,Admiral P,354
Selvtillit & tro,spotify:track:5nFh8Uuhp9PfekN53WTybO,Admiral P,264
Hodet Kaldt,spotify:track:5PprsLrgKazBcC6F6S7ocI,Admiral P,259
Fy faen,spotify:track:3DRy6XAbiGUtOUANt7zBMA,Admiral P,259
Hatere,spotify:track:68dcyXggYd5xMMvGZEkV2r,Admiral P,27
Skakke gi opp,spotify:track:3INDvqyRuuTaCxDl6Ydjux,Admiral P,259
En ting,spotify:track:7nlAGcxxLeANEtgYxIiWIV,Admiral P,27
Kallenavn,spotify:track:568Ykjzese1nhuq2KmX1ux,Admiral P,80
Allergi,spotify:track:20ijF94RGlEGQwAsEu1mhI,Admiral P,13
Afrikansk Vin,spotify:track:3AwiqhJFh11vmNR9GZw6Rp,Admiral P,422
Kom kom,spotify:track:5FlQjNjQemVBE6rfaOgklo,Admiral P,40
Vakker & søt,spotify:track:5ICakGeK9Gv3bxLBruIT9Z,Admiral P,264
Dama mi,spotify:track:0q8uwlcRQLBwltfgbYlLs9,Admiral P,27
Engel,spotify:track:6QVX8WQQ80iFnHQ23kHxJm,Admiral P,284
Glory Days - Intro,spotify:track:165XbuCP9Aew5bSbqhm1Pf,The Vamps,189
Glory Days,spotify:track:4yvPZuuN4YXX6Zov5QkVZA,The Vamps,185
Better,spotify:track:71VAcuOU02SgqryLpr4qaV,The Vamps,114
Married In Vegas,spotify:track:4T9u7Nu7yfoYpTZ2v3zKqq,The Vamps,464
Chemicals,spotify:track:5sBQqOLTNedxIznJFQEo3U,The Vamps,187
Would You,spotify:track:3kig2tqvrpMpZpS9lEot9i,The Vamps,89
