,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.637,0.751,11,-5.696,0,0.163,0.177,0.0,0.318,0.544,160.041,audio_features,676Igo5PdNcsvkXrqdRnA5,spotify:track:676Igo5PdNcsvkXrqdRnA5,https://api.spotify.com/v1/tracks/676Igo5PdNcsvkXrqdRnA5,https://api.spotify.com/v1/audio-analysis/676Igo5PdNcsvkXrqdRnA5,187500,4
1,0.529,0.644,4,-6.894,0,0.033,0.00602,6.69e-05,0.331,0.14,120.174,audio_features,435pS7XvqB2OhjSq4g64We,spotify:track:435pS7XvqB2OhjSq4g64We,https://api.spotify.com/v1/tracks/435pS7XvqB2OhjSq4g64We,https://api.spotify.com/v1/audio-analysis/435pS7XvqB2OhjSq4g64We,259625,3
2,0.182,0.629,4,-6.473,0,0.0417,0.00115,0.000921,0.3,0.0993,178.125,audio_features,41oVM0EMjkThMKxaM2UPnh,spotify:track:41oVM0EMjkThMKxaM2UPnh,https://api.spotify.com/v1/tracks/41oVM0EMjkThMKxaM2UPnh,https://api.spotify.com/v1/audio-analysis/41oVM0EMjkThMKxaM2UPnh,477000,3
3,0.813,0.662,10,-4.854,0,0.195,0.335,7.8e-05,0.165,0.769,120.005,audio_features,6n3REikhN4vR5qv2CKDQ1m,spotify:track:6n3REikhN4vR5qv2CKDQ1m,https://api.spotify.com/v1/tracks/6n3REikhN4vR5qv2CKDQ1m,https://api.spotify.com/v1/audio-analysis/6n3REikhN4vR5qv2CKDQ1m,215380,4
4,0.47,0.942,3,-1.916,1,0.254,0.767,4.89e-05,0.12,0.841,165.014,audio_features,7HANQxTG5jsEBnezWBfqp9,spotify:track:7HANQxTG5jsEBnezWBfqp9,https://api.spotify.com/v1/tracks/7HANQxTG5jsEBnezWBfqp9,https://api.spotify.com/v1/audio-analysis/7HANQxTG5jsEBnezWBfqp9,339749,3
5,0.775,0.808,6,-3.951,0,0.17,0.115,0.0,0.0625,0.781,93.998,audio_features,1EyJcFnB3UXrPD2w02k637,spotify:track:1EyJcFnB3UXrPD2w02k637,https://api.spotify.com/v1/tracks/1EyJcFnB3UXrPD2w02k637,https://api.spotify.com/v1/audio-analysis/1EyJcFnB3UXrPD2w02k637,176327,4
6,0.776,0.802,5,-5.399,0,0.216,0.28,0.0,0.277,0.702,130.019,audio_features,1RfKTBxFj42MZOuBU9jrQw,spotify:track:1RfKTBxFj42MZOuBU9jrQw,https://api.spotify.com/v1/tracks/1RfKTBxFj42MZOuBU9jrQw,https://api.spotify.com/v1/audio-analysis/1RfKTBxFj42MZOuBU9jrQw,243697,4
7,0.837,0.716,2,-8.252,1,0.0694,0.000593,0.704,0.0441,0.382,103.016,audio_features,5KuMYqzGyuwLD9q5n7alTY,spotify:track:5KuMYqzGyuwLD9q5n7alTY,https://api.spotify.com/v1/tracks/5KuMYqzGyuwLD9q5n7alTY,https://api.spotify.com/v1/audio-analysis/5KuMYqzGyuwLD9q5n7alTY,172430,4
8,0.566,0.668,8,-6.509,1,0.0663,0.168,0.0,0.0772,0.922,153.913,audio_features,2mTEpNi4so3iEb40CsH3BI,spotify:track:2mTEpNi4so3iEb40CsH3BI,https://api.spotify.com/v1/tracks/2mTEpNi4so3iEb40CsH3BI,https://api.spotify.com/v1/audio-analysis/2mTEpNi4so3iEb40CsH3BI,233647,4
9,0.674,0.471,6,-13.436,0,0.109,0.0546,0.0,0.174,0.449,105.868,audio_features,698IUpQdo5u3V7ULsyPpEa,spotify:track:698IUpQdo5u3V7ULsyPpEa,https://api.spotify.com/v1/tracks/698IUpQdo5u3V7ULsyPpEa,https://api.spotify.com/v1/audio-analysis/698IUpQdo5u3V7ULsyPpEa,226691,4
10,0.816,0.446,11,-11.037,0,0.22,0.26,0.0,0.333,0.531,100.044,audio_features,7pTZ4fYbvbOYO5M6N6v9dK,spotify:track:7pTZ4fYbvbOYO5M6N6v9dK,https://api.spotify.com/v1/tracks/7pTZ4fYbvbOYO5M6N6v9dK,https://api.spotify.com/v1/audio-analysis/7pTZ4fYbvbOYO5M6N6v9dK,195474,4
11,0.514,0.585,4,-10.182,0,0.32,0.366,0.0,0.151,0.439,117.038,audio_features,3JYaa3ac4E2ZTNm4yLROaJ,spotify:track:3JYaa3ac4E2ZTNm4yLROaJ,https://api.spotify.com/v1/tracks/3JYaa3ac4E2ZTNm4yLROaJ,https://api.spotify.com/v1/audio-analysis/3JYaa3ac4E2ZTNm4yLROaJ,225724,5
12,0.825,0.677,4,-7.323,0,0.0914,0.5,3.89e-06,0.0934,0.923,101.985,audio_features,0p6jLglKBhoj89FV9jxtYE,spotify:track:0p6jLglKBhoj89FV9jxtYE,https://api.spotify.com/v1/tracks/0p6jLglKBhoj89FV9jxtYE,https://api.spotify.com/v1/audio-analysis/0p6jLglKBhoj89FV9jxtYE,243252,4
13,0.729,0.784,10,-3.468,0,0.0961,0.0751,0.0,0.0473,0.843,105.098,audio_features,5q8Z5T0yAKX5mBkWWAhdAw,spotify:track:5q8Z5T0yAKX5mBkWWAhdAw,https://api.spotify.com/v1/tracks/5q8Z5T0yAKX5mBkWWAhdAw,https://api.spotify.com/v1/audio-analysis/5q8Z5T0yAKX5mBkWWAhdAw,189227,4
14,0.59,0.402,0,-11.051,1,0.151,0.33,0.0,0.104,0.657,125.22,audio_features,6cqPJFHVXpAeRkBr9v5Gj2,spotify:track:6cqPJFHVXpAeRkBr9v5Gj2,https://api.spotify.com/v1/tracks/6cqPJFHVXpAeRkBr9v5Gj2,https://api.spotify.com/v1/audio-analysis/6cqPJFHVXpAeRkBr9v5Gj2,195370,5
15,0.681,0.493,4,-11.908,0,0.0578,0.0776,0.0,0.117,0.424,96.195,audio_features,5SxYICl0ZP5e0KlHl7W7bz,spotify:track:5SxYICl0ZP5e0KlHl7W7bz,https://api.spotify.com/v1/tracks/5SxYICl0ZP5e0KlHl7W7bz,https://api.spotify.com/v1/audio-analysis/5SxYICl0ZP5e0KlHl7W7bz,199521,4
16,0.518,0.7,10,-8.203,1,0.228,0.198,0.0,0.106,0.408,135.895,audio_features,0kb8IsoTun6fkeIwGHApJm,spotify:track:0kb8IsoTun6fkeIwGHApJm,https://api.spotify.com/v1/tracks/0kb8IsoTun6fkeIwGHApJm,https://api.spotify.com/v1/audio-analysis/0kb8IsoTun6fkeIwGHApJm,293810,4
17,0.683,0.74,1,-7.526,0,0.297,0.032,0.0,0.392,0.438,123.827,audio_features,3C3kUlWic7H1eDcmuqc3bc,spotify:track:3C3kUlWic7H1eDcmuqc3bc,https://api.spotify.com/v1/tracks/3C3kUlWic7H1eDcmuqc3bc,https://api.spotify.com/v1/audio-analysis/3C3kUlWic7H1eDcmuqc3bc,222067,4
18,0.808,0.626,0,-13.598,1,0.0702,0.0652,0.0133,0.109,0.728,114.071,audio_features,1GJv5XJJeq1qQGrFRQgI76,spotify:track:1GJv5XJJeq1qQGrFRQgI76,https://api.spotify.com/v1/tracks/1GJv5XJJeq1qQGrFRQgI76,https://api.spotify.com/v1/audio-analysis/1GJv5XJJeq1qQGrFRQgI76,190276,4
19,0.779,0.786,7,-10.54,1,0.125,0.0458,6.73e-05,0.104,0.904,129.997,audio_features,5WVnUOkiuY1QUyzelNRlGY,spotify:track:5WVnUOkiuY1QUyzelNRlGY,https://api.spotify.com/v1/tracks/5WVnUOkiuY1QUyzelNRlGY,https://api.spotify.com/v1/audio-analysis/5WVnUOkiuY1QUyzelNRlGY,217339,4
20,0.812,0.523,10,-6.158,0,0.0546,0.000651,0.0,0.0501,0.557,103.008,audio_features,5iueARDbnMQkAG2yOkmTiF,spotify:track:5iueARDbnMQkAG2yOkmTiF,https://api.spotify.com/v1/tracks/5iueARDbnMQkAG2yOkmTiF,https://api.spotify.com/v1/audio-analysis/5iueARDbnMQkAG2yOkmTiF,191488,4
21,0.264,0.819,3,-9.696,1,0.0497,0.0332,0.00749,0.464,0.365,145.471,audio_features,6pKlfpYT7lWrhAAMqskxc0,spotify:track:6pKlfpYT7lWrhAAMqskxc0,https://api.spotify.com/v1/tracks/6pKlfpYT7lWrhAAMqskxc0,https://api.spotify.com/v1/audio-analysis/6pKlfpYT7lWrhAAMqskxc0,264846,4
22,0.875,0.808,7,-4.607,1,0.0657,0.0239,0.00662,0.0406,0.682,113.987,audio_features,6wb91pIBABbp7D5TnfadxI,spotify:track:6wb91pIBABbp7D5TnfadxI,https://api.spotify.com/v1/tracks/6wb91pIBABbp7D5TnfadxI,https://api.spotify.com/v1/audio-analysis/6wb91pIBABbp7D5TnfadxI,195789,4
23,0.723,0.558,5,-10.717,0,0.0551,0.00722,0.0327,0.101,0.609,126.058,audio_features,21Uw2bCHertkbTVH5BCkkw,spotify:track:21Uw2bCHertkbTVH5BCkkw,https://api.spotify.com/v1/tracks/21Uw2bCHertkbTVH5BCkkw,https://api.spotify.com/v1/audio-analysis/21Uw2bCHertkbTVH5BCkkw,233859,4
24,0.851,0.836,10,-6.394,0,0.0486,0.296,0.335,0.377,0.901,113.006,audio_features,0oOxUZUnmBOp4L59W59L0p,spotify:track:0oOxUZUnmBOp4L59W59L0p,https://api.spotify.com/v1/tracks/0oOxUZUnmBOp4L59W59L0p,https://api.spotify.com/v1/audio-analysis/0oOxUZUnmBOp4L59W59L0p,496640,4
25,0.75,0.53,10,-9.711,0,0.0552,0.0458,0.2,0.0911,0.776,95.01,audio_features,4BEwMFiXUCSs0vwEcYVQo9,spotify:track:4BEwMFiXUCSs0vwEcYVQo9,https://api.spotify.com/v1/tracks/4BEwMFiXUCSs0vwEcYVQo9,https://api.spotify.com/v1/audio-analysis/4BEwMFiXUCSs0vwEcYVQo9,637440,4
