,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.537,0.797,2,-5.946,1,0.04,0.0367,2.24e-06,0.341,0.7,134.846,audio_features,7iAPw5fKsiuwaPappNUpX2,spotify:track:7iAPw5fKsiuwaPappNUpX2,https://api.spotify.com/v1/tracks/7iAPw5fKsiuwaPappNUpX2,https://api.spotify.com/v1/audio-analysis/7iAPw5fKsiuwaPappNUpX2,165706,4
1,0.589,0.853,4,-5.761,1,0.0726,0.067,0.0,0.373,0.599,143.949,audio_features,0JH86boEDEXrREt6rOBac8,spotify:track:0JH86boEDEXrREt6rOBac8,https://api.spotify.com/v1/tracks/0JH86boEDEXrREt6rOBac8,https://api.spotify.com/v1/audio-analysis/0JH86boEDEXrREt6rOBac8,171034,4
2,0.465,0.63,11,-8.004,0,0.0945,0.0479,4.08e-05,0.0807,0.657,208.13,audio_features,1nL19J7Nbmo0Rg15tCzB6D,spotify:track:1nL19J7Nbmo0Rg15tCzB6D,https://api.spotify.com/v1/tracks/1nL19J7Nbmo0Rg15tCzB6D,https://api.spotify.com/v1/audio-analysis/1nL19J7Nbmo0Rg15tCzB6D,124622,4
3,0.556,0.426,2,-8.035,1,0.026,0.252,0.000177,0.65,0.405,111.946,audio_features,0FuzRgEqRPVKh9BtNUOXiv,spotify:track:0FuzRgEqRPVKh9BtNUOXiv,https://api.spotify.com/v1/tracks/0FuzRgEqRPVKh9BtNUOXiv,https://api.spotify.com/v1/audio-analysis/0FuzRgEqRPVKh9BtNUOXiv,223196,4
4,0.567,0.827,2,-4.41,1,0.0459,0.0404,0.0,0.115,0.401,141.072,audio_features,6h50iRRuK4fpjtOLkWOtAl,spotify:track:6h50iRRuK4fpjtOLkWOtAl,https://api.spotify.com/v1/tracks/6h50iRRuK4fpjtOLkWOtAl,https://api.spotify.com/v1/audio-analysis/6h50iRRuK4fpjtOLkWOtAl,228753,4
5,0.632,0.635,0,-6.406,1,0.0232,0.0435,4.07e-06,0.129,0.634,89.135,audio_features,063pH1qYBplwBdrbKvkml7,spotify:track:063pH1qYBplwBdrbKvkml7,https://api.spotify.com/v1/tracks/063pH1qYBplwBdrbKvkml7,https://api.spotify.com/v1/audio-analysis/063pH1qYBplwBdrbKvkml7,237913,4
6,0.606,0.924,2,-4.093,1,0.0367,0.00629,1.75e-06,0.745,0.516,120.041,audio_features,5f64ExDgaHbGbxZjGGDmZb,spotify:track:5f64ExDgaHbGbxZjGGDmZb,https://api.spotify.com/v1/tracks/5f64ExDgaHbGbxZjGGDmZb,https://api.spotify.com/v1/audio-analysis/5f64ExDgaHbGbxZjGGDmZb,242378,4
7,0.679,0.511,11,-5.951,1,0.0353,0.133,9.88e-06,0.669,0.371,126.001,audio_features,3buDqvj0SE6DfYjyKmtrJi,spotify:track:3buDqvj0SE6DfYjyKmtrJi,https://api.spotify.com/v1/tracks/3buDqvj0SE6DfYjyKmtrJi,https://api.spotify.com/v1/audio-analysis/3buDqvj0SE6DfYjyKmtrJi,291694,4
8,0.616,0.889,9,-6.128,0,0.0776,0.0145,0.0305,0.0736,0.269,126.991,audio_features,5UUJlliq4Ni3waY9IQVKo0,spotify:track:5UUJlliq4Ni3waY9IQVKo0,https://api.spotify.com/v1/tracks/5UUJlliq4Ni3waY9IQVKo0,https://api.spotify.com/v1/audio-analysis/5UUJlliq4Ni3waY9IQVKo0,4796396,4
9,0.723,0.806,0,-4.989,1,0.0521,0.00666,0.876,0.276,0.539,124.976,audio_features,2ZI7HZLciPtctzPdNUXUiI,spotify:track:2ZI7HZLciPtctzPdNUXUiI,https://api.spotify.com/v1/tracks/2ZI7HZLciPtctzPdNUXUiI,https://api.spotify.com/v1/audio-analysis/2ZI7HZLciPtctzPdNUXUiI,410097,4
