,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.509,0.269,0,-10.42,1,0.049,0.0895,0.00168,0.0787,0.341,135.786,audio_features,102URDQhMTSimVByjpTRpL,spotify:track:102URDQhMTSimVByjpTRpL,https://api.spotify.com/v1/tracks/102URDQhMTSimVByjpTRpL,https://api.spotify.com/v1/audio-analysis/102URDQhMTSimVByjpTRpL,335627,4
1,0.755,0.266,1,-11.942,0,0.0526,0.456,0.00323,0.312,0.663,83.691,audio_features,7ycuU1aOKJy97VNFkKUSK5,spotify:track:7ycuU1aOKJy97VNFkKUSK5,https://api.spotify.com/v1/tracks/7ycuU1aOKJy97VNFkKUSK5,https://api.spotify.com/v1/audio-analysis/7ycuU1aOKJy97VNFkKUSK5,112133,4
2,0.687,0.716,7,-9.799,1,0.237,0.0164,0.00281,0.216,0.569,90.5,audio_features,3n5B0ieaUxw5ulnhXDDA9l,spotify:track:3n5B0ieaUxw5ulnhXDDA9l,https://api.spotify.com/v1/tracks/3n5B0ieaUxw5ulnhXDDA9l,https://api.spotify.com/v1/audio-analysis/3n5B0ieaUxw5ulnhXDDA9l,217880,4
3,0.529,0.314,7,-12.821,1,0.0364,0.777,0.0,0.113,0.192,106.585,audio_features,2eZr2TgcIXmPz4IX6QGxeR,spotify:track:2eZr2TgcIXmPz4IX6QGxeR,https://api.spotify.com/v1/tracks/2eZr2TgcIXmPz4IX6QGxeR,https://api.spotify.com/v1/audio-analysis/2eZr2TgcIXmPz4IX6QGxeR,227893,4
4,0.651,0.23,2,-10.001,1,0.0299,0.844,1.98e-05,0.102,0.277,57.776,audio_features,706PbhdcHazGR0sj8QMBuH,spotify:track:706PbhdcHazGR0sj8QMBuH,https://api.spotify.com/v1/tracks/706PbhdcHazGR0sj8QMBuH,https://api.spotify.com/v1/audio-analysis/706PbhdcHazGR0sj8QMBuH,172227,4
5,0.825,0.75,2,-8.456,1,0.03,0.0512,0.0183,0.168,0.237,89.446,audio_features,26ybk6wVtba1KavCjqHAOj,spotify:track:26ybk6wVtba1KavCjqHAOj,https://api.spotify.com/v1/tracks/26ybk6wVtba1KavCjqHAOj,https://api.spotify.com/v1/audio-analysis/26ybk6wVtba1KavCjqHAOj,272853,4
6,0.617,0.127,2,-16.079,1,0.0333,0.936,0.00737,0.0465,0.144,81.398,audio_features,7rx2sydip0w8jotiRHzhVN,spotify:track:7rx2sydip0w8jotiRHzhVN,https://api.spotify.com/v1/tracks/7rx2sydip0w8jotiRHzhVN,https://api.spotify.com/v1/audio-analysis/7rx2sydip0w8jotiRHzhVN,202587,4
7,0.509,0.594,4,-8.237,1,0.0424,0.0132,0.0744,0.0744,0.602,77.094,audio_features,3fa2yu7zCDvKvjPxcGVYMP,spotify:track:3fa2yu7zCDvKvjPxcGVYMP,https://api.spotify.com/v1/tracks/3fa2yu7zCDvKvjPxcGVYMP,https://api.spotify.com/v1/audio-analysis/3fa2yu7zCDvKvjPxcGVYMP,357227,4
8,0.45,0.129,6,-15.694,0,0.0295,0.924,0.00214,0.118,0.399,147.402,audio_features,2ONPmudtj1QDPxlBkzNQDz,spotify:track:2ONPmudtj1QDPxlBkzNQDz,https://api.spotify.com/v1/tracks/2ONPmudtj1QDPxlBkzNQDz,https://api.spotify.com/v1/audio-analysis/2ONPmudtj1QDPxlBkzNQDz,173600,4
9,0.646,0.387,4,-9.432,0,0.0318,0.38,0.000543,0.0724,0.224,112.646,audio_features,0zLZ35PsDll9G5coaumbDj,spotify:track:0zLZ35PsDll9G5coaumbDj,https://api.spotify.com/v1/tracks/0zLZ35PsDll9G5coaumbDj,https://api.spotify.com/v1/audio-analysis/0zLZ35PsDll9G5coaumbDj,252747,3
