,song_uri,song,artist
0,spotify:track:676Igo5PdNcsvkXrqdRnA5,Gott gib mir ein Zeichen,Leon Machère
1,spotify:track:435pS7XvqB2OhjSq4g64We,Broken Melody - Radio Edit,Vix 20
2,spotify:track:41oVM0EMjkThMKxaM2UPnh,Broken Melody,Vix 20
3,spotify:track:6n3REikhN4vR5qv2CKDQ1m,Na my man dey dere,Don Mo
4,spotify:track:7HANQxTG5jsEBnezWBfqp9,Jaiye Jaiye,Don Mo
5,spotify:track:1EyJcFnB3UXrPD2w02k637,Kolo,Mr. 2Kay
6,spotify:track:1RfKTBxFj42MZOuBU9jrQw,Segno di speranza,Tetasinger
7,spotify:track:5KuMYqzGyuwLD9q5n7alTY,Metele,Wasel
8,spotify:track:2mTEpNi4so3iEb40CsH3BI,Good Morning Beautiful,Big Klef
9,spotify:track:698IUpQdo5u3V7ULsyPpEa,Something New,Big Klef
10,spotify:track:7pTZ4fYbvbOYO5M6N6v9dK,Roll it (feat. Ajala & Whity Matimal),Big Klef
11,spotify:track:3JYaa3ac4E2ZTNm4yLROaJ,Often,Big Klef
12,spotify:track:0p6jLglKBhoj89FV9jxtYE,Cool vibe,Big Klef
13,spotify:track:5q8Z5T0yAKX5mBkWWAhdAw,Washing,Big Klef
14,spotify:track:6cqPJFHVXpAeRkBr9v5Gj2,Outta Kontrol,Big Klef
15,spotify:track:5SxYICl0ZP5e0KlHl7W7bz,You & I,Big Klef
16,spotify:track:0kb8IsoTun6fkeIwGHApJm,Favorite Rock & Roll Song,Big Klef
17,spotify:track:3C3kUlWic7H1eDcmuqc3bc,Bus Stop,Big Klef
18,spotify:track:1GJv5XJJeq1qQGrFRQgI76,Let It Out,Big Klef
19,spotify:track:5WVnUOkiuY1QUyzelNRlGY,Feel it (feat. Meaku & Eddy Kenzo),Big Klef
20,spotify:track:5iueARDbnMQkAG2yOkmTiF,Real Ting,Tyler Lepley
