web-scraper-order;web-scraper-start-url;link;link-href
1639224696-461;"https://www.coursera.org/search?query=free&page=15&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Managing Responsibly: Practicing Sustainability, Responsibility and EthicsUniversity of Manchester   CourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 391 reviews4.7(391)21k studentsMixed LevelMixed""";https://www.coursera.org/learn/responsible-management
1639224651-304;"https://www.coursera.org/search?query=free&page=31&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Sharing Cities: Governance and Urban SustainabilityLund UniversityCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 135 reviews4.7(135)6k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/sharing-cities
1639224735-595;"https://www.coursera.org/search?query=free&page=2&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Introduction to Agile Development and ScrumIBMCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.9 out of five stars. 124 reviews4.9(124)5.3k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/agile-development-and-scrum
1639224593-101;"https://www.coursera.org/search?query=free&page=51&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Инициирование и планирование проектовUniversity of California, IrvineCourseMixed LevelMixed""";https://www.coursera.org/learn/project-planning-ru
1639224624-217;"https://www.coursera.org/search?query=free&page=40&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Flight mechanics - The basisISAE-SUPAEROCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.5 out of five stars. 61 reviews4.5(61)4.1k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/basis-flight-mechanics
1639224731-580;"https://www.coursera.org/search?query=free&page=3&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Python Programming: A Concise IntroductionWesleyan UniversityCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 4843 reviews4.7(4,843)210k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/python-programming-introduction
1639224636-253;"https://www.coursera.org/search?query=free&page=36&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Programming Mobile Applications for Android Handheld Systems: Part 1University of Maryland, College ParkCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 645 reviews4.6(645)76k studentsMixed LevelMixed""";https://www.coursera.org/learn/android-programming
1639224578-57;"https://www.coursera.org/search?query=free&page=56&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Technology Commercialization, Part 1: Setting up your Idea Filtering SystemUniversity of RochesterCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.3 out of five stars. 42 reviews4.3(42)3.6k studentsMixed LevelMixed""";https://www.coursera.org/learn/technology-commercialization
1639224613-172;"https://www.coursera.org/search?query=free&page=44&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Detección de objetosUniversitat Autònoma de BarcelonaCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.5 out of five stars. 330 reviews4.5(330)30k studentsMixed LevelMixed""";https://www.coursera.org/learn/deteccion-objetos
1639224627-227;"https://www.coursera.org/search?query=free&page=39&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Computer ArchitecturePrinceton UniversityCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 1479 reviews4.8(1,479)180k studentsAdvanced LevelAdvanced""";https://www.coursera.org/learn/comparch
